Freq (GHz),Real (V),Imag (V)
7.9183,-0.0677069698176,-0.0227023020265
7.9183125,-0.0677489833105,-0.0224671330491
7.918325,-0.0680036383961,-0.021929294507
7.9183375,-0.068263581311,-0.0216366043346
7.91835,-0.0682958864468,-0.0211918877939
7.9183625,-0.0684046395681,-0.0208150679205
7.918375,-0.0684778306189,-0.0204473297122
7.9183875,-0.068598339212,-0.0200695845549
7.9184,-0.0687410958033,-0.0197643614485
7.9184125,-0.0689070571004,-0.0193321453376
7.918425,-0.0689877116617,-0.0188401892495
7.9184375,-0.0689592689477,-0.0184653334418
7.91845,-0.0691487657971,-0.0179816327638
7.9184625,-0.0692082605743,-0.0177198164188
7.918475,-0.0693960211699,-0.0174684978025
7.9184875,-0.0692624177803,-0.0170428222353
7.9185,-0.069564497546,-0.0166031032794
7.9185125,-0.0695358555979,-0.0162244726814
7.918525,-0.0698160624552,-0.0157567087144
7.9185375,-0.0697548669821,-0.0154583732156
7.91855,-0.0696984737312,-0.0151366682325
7.9185625,-0.069941335148,-0.0147100609271
7.918575,-0.0700554287009,-0.0142663908936
7.9185875,-0.0701040666504,-0.0139077690317
7.9186,-0.0701207210064,-0.0134162591268
7.9186125,-0.0702084718032,-0.0130372903109
7.918625,-0.0703179847231,-0.0126964622568
7.9186375,-0.070376977324,-0.0122077295806
7.91865,-0.0704457400761,-0.0117764418474
7.9186625,-0.0705500622223,-0.0115574929513
7.918675,-0.0706596905527,-0.0110308371046
7.9186875,-0.0706672756796,-0.0106499301279
7.9187,-0.0707262683398,-0.0103146148648
7.9187125,-0.0707565747184,-0.00984794486905
7.918725,-0.0707998755003,-0.00956340476896
7.9187375,-0.0709559266228,-0.00918731807391
7.91875,-0.0708240149112,-0.0086775843395
7.9187625,-0.0709144060312,-0.00830575247568
7.918775,-0.0708939381186,-0.00798477678925
7.9187875,-0.0710133537731,-0.0075770109931
7.9188,-0.0710742439528,-0.00708333708265
7.9188125,-0.0712266997862,-0.00676356298278
7.918825,-0.0711832244539,-0.00630879063914
7.9188375,-0.0712930957712,-0.00594693889216
7.91885,-0.0712163449908,-0.00554796875953
7.9188625,-0.0712056271209,-0.00513122456475
7.918875,-0.0712318894532,-0.00475840407827
7.9188875,-0.0711645790814,-0.00433887975188
7.9189,-0.0711986128044,-0.00379847424604
7.9189125,-0.0712659955055,-0.00346229947238
7.918925,-0.0714044975889,-0.00314322023907
7.9189375,-0.0714184471435,-0.00262205453718
7.91895,-0.0712987519804,-0.00230114357579
7.9189625,-0.0712758279887,-0.00194361487137
7.918975,-0.0713918075185,-0.00151276649234
7.9189875,-0.0714211622533,-0.00120215942356
7.919,-0.0714784429163,-0.000760928227402
7.9190125,-0.0714965410816,-0.000357984873756
7.919025,-0.0714099829453,6.70512101883e-05
7.9190375,-0.0715056392934,0.000480953483641
7.91905,-0.0713914729413,0.000899456659241
7.9190625,-0.0714217725635,0.00133119299809
7.919075,-0.0714736410208,0.0016349207303
7.9190875,-0.0713226577311,0.00228405252272
7.9191,-0.0712330862002,0.00244787450881
7.9191125,-0.0714193235417,0.00298843294242
7.919125,-0.0713360386401,0.00321802710647
7.9191375,-0.0712399273604,0.00375792469862
7.91915,-0.0712096870283,0.00400257771994
7.9191625,-0.0711778078359,0.00445340882801
7.919175,-0.0713283682833,0.0049728172135
7.9191875,-0.0711017820785,0.00524444890265
7.9192,-0.0711451920504,0.0057732140765
7.9192125,-0.0710147690167,0.00614015819152
7.919225,-0.0711288332309,0.00654291124321
7.9192375,-0.071072252764,0.00690639395799
7.91925,-0.0708906453941,0.00748274692353
7.9192625,-0.0709852062523,0.00773391596007
7.919275,-0.0709265021325,0.00822321870311
7.9192875,-0.0707680526207,0.00852784661413
7.9193,-0.0708460693164,0.00903234369807
7.9193125,-0.0707540788656,0.00928677565044
7.919325,-0.0707512755996,0.00972928585438
7.9193375,-0.0706724084538,0.0101466511675
7.91935,-0.0704844020737,0.0105769500651
7.9193625,-0.0705974070426,0.0108230648461
7.919375,-0.0705461424236,0.0113027591336
7.9193875,-0.0704699391191,0.0117347641253
7.9194,-0.0702764842235,0.0120511556387
7.9194125,-0.0701935467672,0.0124755248055
7.919425,-0.0701321395166,0.0129245180213
7.9194375,-0.0701702559945,0.0133424936768
7.91945,-0.0701987921303,0.0136541039175
7.9194625,-0.0699758772926,0.0139769151315
7.919475,-0.0698633538459,0.0144635929268
7.9194875,-0.0698427932746,0.0147775901389
7.9195,-0.0697417660402,0.0152146969375
7.9195125,-0.069646684547,0.0156653559809
7.919525,-0.0694672554199,0.0161500117727
7.9195375,-0.0694569542168,0.0163930173293
7.91955,-0.0693875545568,0.0167372506247
7.9195625,-0.0693710265765,0.0172536835564
7.919575,-0.0692033913548,0.0176475676374
7.9195875,-0.0690359833141,0.0179080221391
7.9196,-0.0689606879708,0.0183918576336
7.9196125,-0.0689403217857,0.01869441616
